,FileName,Center (px) (x-axis),Center (px) (y-axis),Diameter (px) (x-axis),Diameter (px) (y-axis),Diameter (px),Calculated Center X,Calculated Center Y,Calculated  Diameter,Difference Center,Difference Diameter
128,730_103A_4,161,183,9,11,"14,21",163.0,182.0,15.0,"2,236067977","0,787329596"
129,730_103A_4_g,147,162,9,10,"13,45",146.0,162.0,11.0,1,"2,453624047"
130,730_103A_5,172,186,12,8,"14,42",174.0,187.0,13.0,"2,236067977","1,422205102"
131,730_103A_5_g,149,173,13,9,"15,81",148.0,175.0,10.0,"2,236067977","5,811388301"
133,730_103A_6_g,164,161,12,9,"15,00",162.0,161.0,13.0,2,2
135,730_103A_7_g,173,176,10,12,"15,62",173.0,176.0,14.0,0,"1,620499352"
137,730_103A_8_g,153,172,14,7,"15,65",152.0,174.0,14.0,"2,236067977","1,652475842"
140,730_103A_cam,186,166,9,12,"15,00",185.0,166.0,12.0,1,3
141,730_103A_cam_g,154,165,11,9,"14,21",153.0,165.0,11.0,1,"3,212670404"
145,730_103A_lt_g,158,142,10,10,"14,14",157.0,141.0,12.0,"1,414213562","2,142135624"
146,730_103A_rb,167,176,8,11,"13,60",165.0,175.0,12.0,"2,236067977","1,601470509"
147,730_103A_rb_g,136,166,9,6,"10,82",135.0,166.0,8.0,1,"2,816653826"
148,730_103A_rt,166,165,11,9,"14,21",165.0,163.0,13.0,"2,236067977","1,212670404"
151,850_017A_1,211,206,14,7,"15,65",215.0,205.0,15.0,"4,123105626","0,652475842"
152,850_017A_1_g,221,201,12,1,"12,04",223.0,203.0,9.0,"2,828427125","3,041594579"
155,850_017A_2,208,187,12,10,"15,62",215.0,188.0,18.0,"7,071067812","2,379500648"
157,850_017A_3,203,224,7,15,"16,55",201.0,226.0,13.0,"2,828427125","3,552945357"
160,850_017A_4_g,199,198,14,6,"15,23",198.0,199.0,11.0,"1,414213562","4,231546212"
163,850_017A_6,241,200,8,12,"14,42",246.0,200.0,18.0,5,"3,577794898"
164,850_017A_6_g,219,192,15,9,"17,49",220.0,197.0,13.0,"5,099019514","4,492855685"
165,850_017A_7,247,213,10,10,"14,14",303.0,224.0,8.0,"57,07013229","6,142135624"
166,850_017A_7_g,208,172,14,9,"16,64",211.0,174.0,14.0,"3,605551275","2,643316977"
170,850_017A_9_g,198,190,15,8,"17,00",203.0,190.0,11.0,5,6
171,850_017A_cam,214,183,16,6,"17,09",218.0,184.0,11.0,"4,123105626","6,088007491"
176,850_017A_lt_g,225,162,16,1,"16,03",226.0,162.0,15.0,1,"1,031219542"
178,850_017A_rb_g,178,207,16,1,"16,03",179.0,209.0,11.0,"2,236067977","5,031219542"
179,850_017A_rt,164,200,14,5,"14,87",163.0,199.0,14.0,"1,414213562","0,866068747"
181,940_026A_1,220,171,15,11,"18,60",221.0,172.0,17.0,"1,414213562","1,601075238"
185,940_026A_2,205,194,13,10,"16,40",211.0,197.0,19.0,"6,708203932","2,598780533"
187,940_026A_3,194,176,13,9,"15,81",197.0,177.0,16.0,"3,16227766","0,188611699"
189,940_026A_4,214,194,13,11,"17,03",220.0,198.0,19.0,"7,211102551","1,970613634"
191,940_026A_5,215,193,13,10,"16,40",223.0,197.0,21.0,"8,94427191","4,598780533"
193,940_026A_6,203,196,14,10,"17,20",202.0,201.0,18.0,"5,099019514","0,795349466"
195,940_026A_7,207,197,12,13,"17,69",200.0,201.0,20.0,"8,062257748","2,308193987"
197,940_026A_8,218,194,13,9,"15,81",212.0,198.0,20.0,"7,211102551","4,188611699"
199,940_026A_9,206,198,11,11,"15,56",199.0,204.0,20.0,"9,219544457","4,443650814"
201,940_026A_cam,203,198,10,11,"14,87",202.0,167.0,15.0,"31,01612484","0,133931253"
203,940_026A_lb,213,193,14,9,"16,64",206.0,199.0,19.0,"9,219544457","2,356683023"
205,940_026A_lt,215,163,7,15,"16,55",222.0,162.0,21.0,"7,071067812","4,447054643"
207,940_026A_rb,191,200,11,10,"14,87",199.0,204.0,18.0,"8,94427191","3,133931253"
208,940_026A_rb_g,223,203,14,14,"19,80",223.0,212.0,12.0,9,"7,798989873"
211,850_040A_1,213,179,9,11,"14,21",214.0,180.0,13.0,"1,414213562","1,212670404"
212,850_040A_1_g,178,169,13,1,"13,04",180.0,168.0,9.0,"2,236067977","4,03840481"
214,850_040A_10_g,169,165,14,1,"14,04",171.0,166.0,12.0,"2,236067977","2,035668848"
215,850_040A_2,203,184,12,9,"15,00",203.0,186.0,14.0,2,1
217,850_040A_3,187,193,12,7,"13,89",188.0,193.0,15.0,1,"1,107556011"
219,850_040A_4,192,185,13,5,"13,93",191.0,187.0,15.0,"2,236067977","1,071611723"
221,850_040A_5,221,199,13,6,"14,32",223.0,203.0,16.0,"4,472135955","1,682178937"
222,850_040A_5_g,200,178,17,1,"17,03",201.0,179.0,12.0,"1,414213562","5,029386366"
224,850_040A_6_g,196,175,17,1,"17,03",195.0,176.0,14.0,"1,414213562","3,029386366"
226,850_040A_7_g,168,184,15,1,"15,03",186.0,187.0,12.0,"18,24828759","3,033296378"
227,850_040A_8,208,204,12,6,"13,42",211.0,208.0,15.0,5,"1,583592135"
228,850_040A_8_g,191,184,16,1,"16,03",191.0,186.0,11.0,2,"5,031219542"
231,850_040A_cam,189,166,11,6,"12,53",191.0,166.0,13.0,2,"0,470035914"
232,850_040A_cam_g,177,161,14,1,"14,04",182.0,161.0,10.0,5,"4,035668848"
233,850_040A_lb,223,185,11,7,"13,04",224.0,190.0,10.0,"5,099019514","3,03840481"
235,850_040A_lt,220,184,7,13,"14,76",222.0,184.0,15.0,2,"0,23517694"
236,850_040A_lt_g,213,175,14,1,"14,04",214.0,173.0,13.0,"2,236067977","1,035668848"
237,850_040A_rb,184,188,12,8,"14,42",185.0,190.0,16.0,"2,236067977","1,577794898"
238,850_040A_rb_g,173,187,14,1,"14,04",173.0,188.0,11.0,1,"3,035668848"
239,850_040A_rt,177,173,13,5,"13,93",177.0,173.0,15.0,0,"1,071611723"
241,940_048A_1,198,169,9,12,"15,00",209.0,170.0,22.0,"11,04536102",7
245,940_048A_2,200,168,11,11,"15,56",202.0,171.0,17.0,"3,605551275","1,443650814"
247,940_048A_3,196,178,10,13,"16,40",200.0,182.0,19.0,"5,656854249","2,598780533"
249,940_048A_4,198,171,13,8,"15,26",201.0,177.0,18.0,"6,708203932","2,735662478"
251,940_048A_5,194,181,10,8,"12,81",190.0,184.0,18.0,5,"5,193751525"
253,940_048A_6,205,180,10,10,"14,14",199.0,183.0,19.0,"6,708203932","4,857864376"
255,940_048A_7,215,181,12,10,"15,62",210.0,186.0,18.0,"7,071067812","2,379500648"
257,940_048A_8,184,190,13,10,"16,40",182.0,197.0,17.0,"7,280109889","0,598780533"
261,940_048A_cam,189,154,10,12,"15,62",196.0,154.0,21.0,7,"5,379500648"
262,940_048A_cam_g,198,181,11,15,"18,60",204.0,181.0,8.0,6,"10,60107524"
265,940_048A_lt,202,158,9,12,"15,00",209.0,161.0,20.0,"7,615773106",5
269,940_048A_rt,157,163,12,11,"16,28",165.0,168.0,21.0,"9,433981132","4,721179404"
271,850_065A_1,240,191,11,11,"15,56",238.0,190.0,14.0,"2,236067977","1,556349186"
272,850_065A_1_g,167,157,13,1,"13,04",169.0,158.0,12.0,"2,236067977","1,03840481"
275,850_065A_2,212,203,13,9,"15,81",211.0,204.0,15.0,"1,414213562","0,811388301"
276,850_065A_2_g,162,158,14,1,"14,04",161.0,157.0,13.0,"1,414213562","1,035668848"
277,850_065A_3,206,177,8,13,"15,26",204.0,179.0,12.0,"2,828427125","3,264337522"
278,850_065A_3_g,169,165,8,11,"13,60",169.0,165.0,14.0,0,"0,398529491"
279,850_065A_4,183,191,16,6,"17,09",181.0,191.0,15.0,2,"2,088007491"
280,850_065A_4_g,146,177,11,7,"13,04",145.0,178.0,11.0,"1,414213562","2,03840481"
281,850_065A_5,216,192,14,9,"16,64",216.0,192.0,16.0,0,"0,643316977"
282,850_065A_5_g,169,179,14,1,"14,04",170.0,181.0,9.0,"2,236067977","5,035668848"
283,850_065A_6,227,201,15,7,"16,55",232.0,202.0,18.0,"5,099019514","1,447054643"
287,850_065A_8,220,202,13,13,"18,38",222.0,209.0,14.0,"7,280109889","4,384776311"
289,850_065A_9,223,208,8,11,"13,60",223.0,212.0,12.0,4,"1,601470509"
291,850_065A_cam,195,192,12,6,"13,42",194.0,192.0,14.0,1,"0,583592135"
292,850_065A_cam_g,154,160,12,7,"13,89",154.0,160.0,12.0,0,"1,892443989"
295,850_065A_lt,233,185,11,8,"13,60",234.0,185.0,15.0,1,"1,398529491"
296,850_065A_lt_g,186,159,16,1,"16,03",189.0,159.0,13.0,3,"3,031219542"
297,850_065A_rb,184,215,11,5,"12,08",183.0,215.0,13.0,1,"0,916954026"
298,850_065A_rb_g,152,176,11,9,"14,21",154.0,177.0,14.0,"2,236067977","0,212670404"
299,850_065A_rt,187,187,12,7,"13,89",186.0,186.0,14.0,"1,414213562","0,107556011"
300,850_065A_rt_g,161,157,14,1,"14,04",162.0,157.0,13.0,1,"1,035668848"
301,850_078A_1,225,163,14,7,"15,65",225.0,166.0,13.0,3,"2,652475842"
302,850_078A_1_g,191,177,11,8,"13,60",193.0,180.0,10.0,"3,605551275","3,601470509"
304,850_078A_10_g,175,199,14,3,"14,32",175.0,202.0,11.0,3,"3,317821063"
305,850_078A_2,215,201,12,8,"14,42",216.0,200.0,14.0,"1,414213562","0,422205102"
307,850_078A_3,207,187,14,7,"15,65",206.0,187.0,15.0,1,"0,652475842"
309,850_078A_4,201,200,12,7,"13,89",202.0,200.0,13.0,1,"0,892443989"
310,850_078A_4_g,149,166,11,11,"15,56",149.0,168.0,13.0,2,"2,556349186"
311,850_078A_5,199,200,12,7,"13,89",198.0,200.0,13.0,1,"0,892443989"
312,850_078A_5_g,160,165,15,1,"15,03",161.0,166.0,14.0,"1,414213562","1,033296378"
315,850_078A_7,219,210,10,6,"11,66",219.0,212.0,12.0,2,"0,33809621"
317,850_078A_8,232,207,14,7,"15,65",233.0,211.0,12.0,"4,123105626","3,652475842"
319,850_078A_9,210,222,9,10,"13,45",210.0,226.0,12.0,4,"1,453624047"
321,850_078A_cam,197,180,11,11,"15,56",196.0,178.0,16.0,"2,236067977","0,443650814"
322,850_078A_cam_g,179,169,15,4,"15,52",178.0,170.0,15.0,"1,414213562","0,524174696"
325,850_078A_lt,242,176,14,6,"15,23",257.0,179.0,20.0,"15,29705854","4,768453788"
326,850_078A_lt_g,183,157,13,8,"15,26",186.0,160.0,11.0,"4,242640687","4,264337522"
327,850_078A_rb,186,214,14,7,"15,65",187.0,216.0,14.0,"2,236067977","1,652475842"
329,850_078A_rt,180,171,14,7,"15,65",179.0,170.0,15.0,"1,414213562","0,652475842"
331,940_079A_1,203,155,10,13,"16,40",204.0,157.0,15.0,"2,236067977","1,401219467"
335,940_079A_2,186,176,10,11,"14,87",188.0,177.0,16.0,"2,236067977","1,133931253"
337,940_079A_3,188,170,9,9,"12,73",190.0,170.0,14.0,2,"1,272077939"
339,940_079A_4,176,188,9,13,"15,81",178.0,190.0,16.0,"2,828427125","0,188611699"
341,940_079A_5,196,177,10,14,"17,20",197.0,179.0,16.0,"2,236067977","1,204650534"
343,940_079A_6,188,176,11,13,"17,03",188.0,177.0,16.0,1,"1,029386366"
345,940_079A_7,194,166,8,11,"13,60",195.0,169.0,15.0,"3,16227766","1,398529491"
347,940_079A_8,201,183,12,10,"15,62",202.0,187.0,15.0,"4,123105626","0,620499352"
351,940_079A_cam,180,154,9,10,"13,45",181.0,153.0,13.0,"1,414213562","0,453624047"
355,940_079A_lt,186,163,10,13,"16,40",189.0,163.0,14.0,3,"2,401219467"
359,940_079A_rt,177,173,9,12,"15,00",174.0,171.0,15.0,"3,605551275",0
361,940_102A_1,197,164,10,11,"14,87",201.0,165.0,13.0,"4,123105626","1,866068747"
365,940_102A_2,175,169,9,11,"14,21",176.0,170.0,15.0,"1,414213562","0,787329596"
367,940_102A_3,194,162,12,13,"17,69",195.0,162.0,16.0,1,"1,691806013"
369,940_102A_4,174,171,11,11,"15,56",178.0,171.0,17.0,4,"1,443650814"
371,940_102A_5,191,187,11,14,"17,80",190.0,191.0,15.0,"4,123105626","2,804493815"
373,940_102A_6,182,177,14,9,"16,64",182.0,179.0,14.0,2,"2,643316977"
